seq,side,choice1
144,Cheddar,G
145,Roquefort,B
146,Cheddar,D
147,Camenbert,D
148,Brie,B
149,Roquefort,E
150,Roquefort,B
151,Valencay,H
152,Camenbert,D
153,Cheddar,G
154,Gorgonzola,E
155,Cheddar,B
156,Annon,G
157,,F
158,Brie,C
159,Cheddar,E
160,Valencay,E
161,Brie,B
162,Valencay,H
163,Gorgonzola,F
164,Annon,D
165,Valencay,A
166,Valencay,A
167,Ricotta,B
168,Gorgonzola,D
169,Valencay,E
170,Camenbert,B
171,Annon,H
172,Brie,C
173,Brie,G
174,Valencay,D
175,Cheddar,C
176,Annon,C
177,Annon,B
178,Valencay,F
179,Valencay,F
180,Gorgonzola,B
181,Valencay,E
182,Gorgonzola,H
183,Ricotta,G
184,Brie,H
185,Ricotta,A
186,Roquefort,B
187,Brie,A
188,Ricotta,F
189,Ricotta,E
190,Brie,D
191,Annon,D
192,Brie,E
193,Ricotta,F
194,Camenbert,B
195,Gorgonzola,E
196,Brie,C
197,Brie,D
198,Brie,G
199,Ricotta,B
200,Ricotta,H
201,Roquefort,A
202,Cheddar,F
203,Gorgonzola,B
204,Brie,H
205,Gorgonzola,E
206,Brie,B
207,Annon,D
208,Gorgonzola,H
209,Roquefort,B
210,Valencay,C
211,Annon,B
212,Cheddar,H
213,Valencay,E
214,Valencay,G
215,Cheddar,G
216,Brie,C
217,Gorgonzola,D
218,Camenbert,H
219,Camenbert,C
220,Camenbert,D
221,Annon,B
222,Annon,E
223,Cheddar,H
224,Roquefort,D
225,Cheddar,B
226,Brie,E
227,Annon,D
228,Annon,A
229,Ricotta,H
230,Annon,C
231,Ricotta,E
232,Roquefort,H
233,Valencay,E
234,Valencay,E
235,Cheddar,C
236,Brie,E
237,Gorgonzola,E
238,Valencay,G
239,Roquefort,F
240,Ricotta,B
241,Annon,B
242,Valencay,E
243,Roquefort,C
244,Gorgonzola,B
245,Gorgonzola,C
246,Ricotta,E
247,Ricotta,C
248,Camenbert,A
249,Gorgonzola,C
250,Ricotta,C
251,Brie,F
252,Annon,E
253,Annon,E
254,Roquefort,E
255,Roquefort,D
256,Ricotta,D
257,Gorgonzola,H
258,Roquefort,E
259,Valencay,E
260,Gorgonzola,F
261,Ricotta,A
262,Camenbert,E
263,Ricotta,F
264,Valencay,E
265,Valencay,C
266,Gorgonzola,D
267,Cheddar,A
268,Cheddar,F
269,Annon,C
270,Valencay,E
271,Cheddar,D
272,Gorgonzola,C
273,Gorgonzola,A
274,Roquefort,C
275,Camenbert,G
276,Annon,G
277,Brie,B
278,Valencay,A
279,Roquefort,H
280,Annon,E
281,Brie,G
282,Gorgonzola,C
283,Brie,A
284,Ricotta,A
285,Brie,C
286,Gorgonzola,E
287,Brie,D
288,Camenbert,E
289,Annon,C
290,Gorgonzola,B
291,Ricotta,C
292,Brie,C
293,Camenbert,F
294,Ricotta,H
295,Ricotta,G
296,Roquefort,D
297,Gorgonzola,D
298,Brie,E
299,Camenbert,D
300,Ricotta,A
301,Cheddar,H
302,Brie,H
303,Brie,C
304,Roquefort,A
305,Gorgonzola,A
306,Annon,E
307,Gorgonzola,E
308,,G
309,Brie,E
310,Camenbert,C
311,Brie,E
312,Valencay,E
313,Valencay,C
314,Camenbert,C
315,Camenbert,D
316,Cheddar,C
317,Cheddar,H
318,Ricotta,D
319,Gorgonzola,B
320,Valencay,B
321,Annon,F
322,Roquefort,C
323,Annon,C
324,Annon,D
325,Camenbert,E
326,Roquefort,G
327,Brie,D
328,Cheddar,E
329,Brie,F
330,Annon,C
331,Ricotta,E
332,Camenbert,D
333,Brie,C
334,,B
335,Camenbert,E
336,Brie,F
337,Brie,E
338,Camenbert,E
339,Ricotta,G
340,Camenbert,B
341,Roquefort,B
342,Camenbert,E
343,Valencay,E
344,Roquefort,C
345,Brie,D
346,Camenbert,D
347,Roquefort,E
348,Cheddar,E
349,Valencay,E
350,Cheddar,F
351,Camenbert,G
352,Ricotta,E
353,Annon,D
354,Annon,E
355,Camenbert,C
356,Camenbert,B
357,Valencay,D
358,Brie,B
359,Brie,A
360,Gorgonzola,H
361,Roquefort,B
362,Roquefort,F
363,Camenbert,H
364,Roquefort,E
365,Cheddar,G
366,Camenbert,B
367,Cheddar,D
368,Annon,D
369,Brie,D
370,Gorgonzola,A
371,Valencay,E
372,Annon,D
373,,C
374,Valencay,B
375,Gorgonzola,E
376,Roquefort,H
377,Valencay,H
378,Roquefort,E
379,Ricotta,D
380,Brie,C
381,Cheddar,C
382,Annon,B
383,Gorgonzola,B
384,Brie,D
385,Brie,D
386,Gorgonzola,E
387,Camenbert,H
388,Cheddar,G
389,Gorgonzola,F
390,Cheddar,C
391,Cheddar,C
392,Annon,E
393,Ricotta,F
394,Annon,A
395,Annon,B
396,Cheddar,E
397,Ricotta,E
398,Gorgonzola,F
399,Gorgonzola,B
400,,E
401,Brie,C
402,Cheddar,B
403,Roquefort,E
404,Gorgonzola,E
405,Roquefort,D
406,Camenbert,G
407,Valencay,H
408,Ricotta,B
409,Brie,H
410,Valencay,F
411,Brie,A
412,Roquefort,B
413,Roquefort,C
414,Gorgonzola,E
415,Cheddar,C
416,Roquefort,C
417,Annon,D
418,Roquefort,G
419,Brie,D
420,Gorgonzola,E
421,Roquefort,H
422,Brie,E
423,Ricotta,F
424,Ricotta,B
425,Annon,C
426,Brie,A
427,Valencay,A
428,Camenbert,B
429,Gorgonzola,A
430,Ricotta,C
431,Camenbert,D
432,Ricotta,D
433,Annon,G
434,Annon,E
435,Roquefort,E
436,Ricotta,A
437,Cheddar,D
438,Brie,B
439,Roquefort,C
440,Cheddar,B
441,Gorgonzola,D
442,Brie,H
443,Gorgonzola,A
444,Roquefort,A
445,Valencay,A
446,Valencay,D
447,Camenbert,H
448,Gorgonzola,B
449,Valencay,D
450,Valencay,E
451,Roquefort,B
452,Annon,D
453,Roquefort,H
454,Brie,D
455,Valencay,D
456,Ricotta,G
457,Brie,B
458,Gorgonzola,F
459,Brie,D
460,Ricotta,B
461,Ricotta,A
462,Ricotta,H
463,Camenbert,H
464,Ricotta,E
465,Annon,D
466,Valencay,H
467,Ricotta,B
468,Camenbert,D
469,Ricotta,E
470,Brie,C
471,Gorgonzola,D
472,Roquefort,E
473,Cheddar,H
474,Ricotta,D
475,Cheddar,C
476,Camenbert,H
477,Gorgonzola,E
478,Valencay,D
479,Brie,G
480,Annon,H
481,Camenbert,A
482,Valencay,G
483,Roquefort,F
484,Camenbert,A
485,Camenbert,H
486,Cheddar,H
487,Gorgonzola,B
488,,H
489,,H
490,Cheddar,D
491,Cheddar,F
492,Roquefort,H
493,Annon,D
494,Annon,C
495,Cheddar,D
496,Roquefort,F
497,Gorgonzola,A
498,Roquefort,B
499,Cheddar,C
500,Cheddar,F
501,Cheddar,E
502,Annon,G
503,Cheddar,D
504,Valencay,C
505,Camenbert,D
506,Cheddar,E
507,Roquefort,F
508,Roquefort,A
509,Ricotta,D
510,Cheddar,G
511,Valencay,A
512,Brie,E
513,Gorgonzola,G
514,Gorgonzola,G
515,Camenbert,A
516,Ricotta,D
517,Camenbert,F
518,Cheddar,E
519,Annon,C
520,Roquefort,C
521,Valencay,B
522,Gorgonzola,D
523,Cheddar,A
524,Cheddar,D
525,Ricotta,B
526,Roquefort,A
527,Brie,C
528,Camenbert,C
529,Gorgonzola,C
530,Gorgonzola,B
531,Valencay,G
532,Roquefort,H
533,Annon,H
534,,C
535,Ricotta,E
536,Cheddar,A
537,Gorgonzola,B
538,Ricotta,D
539,Gorgonzola,D
540,Cheddar,D
541,Camenbert,D
542,Camenbert,F
543,Annon,A
544,Annon,B
545,Annon,C
546,Ricotta,E
547,Roquefort,H
548,Roquefort,A
549,Roquefort,C
550,Ricotta,A
551,Camenbert,B
552,Cheddar,C
553,Valencay,F
554,Ricotta,D
555,Ricotta,D
556,Valencay,D
557,Ricotta,A
558,Camenbert,H
559,Brie,D
560,Gorgonzola,B
561,Annon,B
562,Camenbert,B
563,Roquefort,D
564,Ricotta,D
565,Cheddar,A
566,Brie,A
567,Ricotta,B
568,Cheddar,E
569,Camenbert,A
570,Gorgonzola,G
571,Annon,E
572,Gorgonzola,C
573,Camenbert,G
574,Annon,A
575,Ricotta,A
576,Roquefort,E
577,Roquefort,D
578,Brie,D
579,Valencay,B
580,Gorgonzola,E
581,Valencay,E
582,Camenbert,D
583,Camenbert,C
584,Gorgonzola,F
585,Ricotta,F
586,Brie,B
587,Cheddar,B
588,Ricotta,B
589,Camenbert,F
590,Cheddar,G
591,Brie,E
592,Ricotta,A
593,Cheddar,E
594,Camenbert,C
595,Valencay,G
596,Cheddar,C
597,Brie,E
598,Brie,A
599,Gorgonzola,D
600,Brie,D
601,Roquefort,F
602,Valencay,E
603,Ricotta,D
604,Annon,C
605,Valencay,D
606,Cheddar,F
607,Cheddar,G
608,Brie,E
609,Valencay,C
610,Camenbert,D
611,Cheddar,A
612,Brie,E
613,Camenbert,D
614,Camenbert,A
615,Brie,F
616,Annon,G
617,Gorgonzola,G
618,Brie,H
619,Brie,D
620,Gorgonzola,A
621,Ricotta,F
622,Cheddar,D
623,Camenbert,G
624,Annon,H
625,Annon,A
626,Ricotta,E
627,Ricotta,E
628,Camenbert,F
629,Roquefort,G
630,Gorgonzola,H
631,Camenbert,D
632,Annon,B
633,Roquefort,B
634,Gorgonzola,E
635,Roquefort,F
636,Annon,C
637,Valencay,D
638,Ricotta,A
639,Camenbert,G
640,Cheddar,D
641,Valencay,B
642,Ricotta,H
643,Annon,D
644,Annon,B
645,Valencay,C
646,Gorgonzola,E
647,Brie,C
648,Cheddar,E
649,Annon,E
650,Valencay,B
651,Annon,F
652,Roquefort,E
653,Cheddar,D
654,Camenbert,B
655,Annon,H
656,Annon,A
657,Cheddar,A
658,Valencay,E
659,Annon,H
660,Gorgonzola,F
661,Brie,C
662,Valencay,E
663,Annon,B
664,Valencay,B
665,Valencay,D
666,Valencay,E
667,Gorgonzola,D
668,,E
669,Valencay,E
670,Annon,D
671,Annon,E
672,Valencay,C
673,Roquefort,B
674,Valencay,C
675,Camenbert,H
676,Ricotta,D
677,Valencay,D
678,Roquefort,G
679,Ricotta,H
680,Brie,B
681,Annon,F
682,Ricotta,G
683,Ricotta,F
684,Brie,A
685,,E
686,Ricotta,D
687,Roquefort,F
688,Brie,E
689,Brie,F
690,Roquefort,E
691,Roquefort,B
692,Brie,D
693,Camenbert,F
694,Valencay,D
695,Annon,G
696,Valencay,G
697,Cheddar,A
698,Roquefort,A
699,Valencay,D
700,Annon,C
701,Ricotta,E
702,Roquefort,D
703,Annon,C
704,Brie,B
705,Ricotta,G
706,Ricotta,G
707,Brie,D
708,Cheddar,A
709,Annon,F
710,Cheddar,C
711,Roquefort,C
712,Cheddar,E
713,Valencay,G
714,Gorgonzola,D
715,Annon,G
716,Camenbert,B
717,Gorgonzola,F
718,Roquefort,B
719,Roquefort,D
720,Brie,E
721,Cheddar,A
722,Gorgonzola,D
723,Annon,A
724,Camenbert,G
725,Ricotta,G
726,Cheddar,E
727,Camenbert,D
728,Brie,F
729,Annon,F
730,Roquefort,G
731,Cheddar,E
732,Ricotta,G
733,Ricotta,D
734,Ricotta,D
735,Ricotta,C
736,Annon,A
737,Annon,E
738,Valencay,A
739,Camenbert,A
740,Cheddar,D
741,Camenbert,F
742,Roquefort,E
743,Camenbert,D
744,Brie,C
745,Gorgonzola,F
746,Camenbert,G
747,Gorgonzola,D
748,Valencay,D
749,Annon,A
750,Valencay,G
751,Camenbert,D
752,Roquefort,B
753,Ricotta,C
754,Cheddar,D
755,Ricotta,A
756,Annon,A
757,Brie,H
758,Brie,F
759,Ricotta,D
760,Brie,H
761,Valencay,D
762,Annon,F
763,Ricotta,C
764,Roquefort,F
765,Ricotta,E
766,Annon,F
767,Gorgonzola,C
768,Cheddar,D
769,Cheddar,F
770,Roquefort,E
771,Gorgonzola,F
772,Gorgonzola,B
773,Ricotta,A
774,Brie,C
775,Valencay,E
776,Brie,C
777,Valencay,A
778,Brie,G
779,Valencay,D
780,Roquefort,H
781,Roquefort,B
782,Brie,C
783,Valencay,F
784,Roquefort,D
785,Camenbert,E
786,Cheddar,A
787,Annon,B
788,Ricotta,A
789,Camenbert,F
790,Cheddar,A
791,Annon,G
792,Annon,E
793,Roquefort,E
794,Valencay,C
795,Brie,C
796,Roquefort,E
797,Gorgonzola,H
798,Brie,G
799,Roquefort,F
800,Ricotta,D
801,Cheddar,C
802,Valencay,E
803,Valencay,F
804,Cheddar,C
805,Gorgonzola,F
806,Roquefort,F
807,Ricotta,E
808,Brie,D
809,Annon,D
810,Ricotta,E
811,Camenbert,D
812,Gorgonzola,C
813,Brie,C
814,Brie,D
815,Valencay,B
816,Valencay,E
817,Ricotta,H
818,Gorgonzola,F
819,Ricotta,G
820,Cheddar,B
821,Cheddar,B
822,Valencay,E
823,Valencay,E
824,Brie,F
825,Roquefort,A
826,Cheddar,H
827,Valencay,C
828,Valencay,A
829,Cheddar,D
830,Annon,D
831,Gorgonzola,D
832,Gorgonzola,F
833,Roquefort,D
834,Annon,H
835,Annon,H
836,Roquefort,D
837,Brie,C
838,Ricotta,G
839,Annon,H
840,Gorgonzola,H
841,Ricotta,H
842,Brie,D
843,Roquefort,G
844,Gorgonzola,C
845,Ricotta,B
846,Valencay,F
847,Brie,C
848,Camenbert,D
849,Annon,B
850,Camenbert,D
851,Brie,B
852,Cheddar,C
853,Roquefort,G
854,Valencay,D
855,Brie,E
856,Gorgonzola,B
857,Cheddar,A
858,Valencay,E
859,Annon,E
860,Cheddar,B
861,Roquefort,D
862,Ricotta,H
863,Roquefort,G
864,Valencay,A
865,Ricotta,E
866,Cheddar,A
867,Camenbert,E
868,Annon,D
869,Gorgonzola,A
870,Camenbert,A
871,Brie,F
872,Annon,A
873,Annon,H
874,Valencay,B
875,Cheddar,C
876,Ricotta,E
877,Annon,G
878,Roquefort,C
879,Brie,D
880,Cheddar,C
881,Valencay,D
882,Valencay,H
883,Brie,B
884,Valencay,C
885,Brie,F
886,Annon,H
887,Ricotta,B
888,Annon,C
889,Valencay,H
890,Gorgonzola,A
891,Valencay,E
892,Valencay,E
893,Camenbert,E
894,Roquefort,E
895,Camenbert,D
896,Camenbert,D
897,Gorgonzola,G
898,Valencay,E
899,Roquefort,G
900,Brie,C
901,Annon,G
902,Camenbert,D
903,Brie,H
904,Camenbert,E
905,Valencay,E
906,Valencay,C
907,Ricotta,D
908,Camenbert,H
909,Roquefort,D
910,Cheddar,B
911,Ricotta,H
912,Brie,F
913,Cheddar,F
914,Roquefort,E
915,Ricotta,G
916,Annon,C
917,Roquefort,B
918,Ricotta,D
919,Brie,C
920,Gorgonzola,D
921,Roquefort,B
922,Brie,H
923,Cheddar,B
924,Valencay,C
925,Ricotta,C
926,Annon,E
927,Camenbert,D
928,Gorgonzola,B
929,Camenbert,H
930,Roquefort,E
931,Ricotta,H
932,Cheddar,E
933,Roquefort,E
934,Brie,H
935,Camenbert,D
936,Brie,E
937,Gorgonzola,D
938,Camenbert,F
939,Cheddar,H
940,Cheddar,C
941,Cheddar,D
942,Camenbert,E
943,Camenbert,A
944,Brie,C
945,Gorgonzola,D
946,Brie,C
947,Camenbert,D
948,Annon,D
949,Brie,F
950,Gorgonzola,E
951,Valencay,D
952,Ricotta,H
953,Cheddar,A
954,Ricotta,H
955,Gorgonzola,H
956,Valencay,C
957,Roquefort,D
958,Roquefort,E
959,Valencay,F
960,Roquefort,H
961,Annon,B
962,Brie,F
963,Cheddar,D
964,Annon,G
965,Valencay,F
966,Ricotta,H
967,Gorgonzola,B
968,Ricotta,C
969,Annon,C
970,Cheddar,F
971,Annon,C
972,Roquefort,F
973,Roquefort,F
974,Brie,G
975,Ricotta,D
976,Brie,B
977,Roquefort,D
978,Roquefort,B
979,Gorgonzola,B
980,Brie,E
981,Camenbert,D
982,Annon,A
983,Valencay,E
984,Brie,C
985,Camenbert,D
986,,D
987,Brie,E
988,Annon,A
989,Camenbert,B
990,Brie,C
991,Ricotta,F
992,Valencay,H
993,Brie,H
994,Cheddar,F
995,Cheddar,D
996,Gorgonzola,B
997,Cheddar,D
998,Annon,B
999,Brie,F
1000,Gorgonzola,D
1001,Cheddar,E
1002,Ricotta,A
1003,Roquefort,C
1004,Annon,D
1005,Brie,D
1006,,C
1007,Roquefort,H
1008,Brie,A
1009,Camenbert,F
1010,Camenbert,C
1011,Roquefort,C
1012,Annon,B
1013,Brie,H
1014,Gorgonzola,H
1015,Valencay,H
1016,Valencay,B
1017,Gorgonzola,F
1018,Annon,F
1019,Gorgonzola,B
1020,Valencay,F
1021,Cheddar,G
1022,Brie,H
1023,Cheddar,G
1024,Ricotta,B
1025,Valencay,E
1026,Cheddar,E
1027,Cheddar,E
1028,Gorgonzola,E
1029,Valencay,E
1030,Cheddar,G
1031,Annon,B
1032,Brie,H
1033,Ricotta,H
1034,Gorgonzola,D
1035,Brie,E
1036,Valencay,H
1037,Cheddar,G
1038,Annon,B
1039,Cheddar,E
1040,Cheddar,E
1041,Brie,D
1042,Cheddar,H
1043,Brie,G
1044,Gorgonzola,F
1045,Camenbert,F
1046,Roquefort,C
1047,Cheddar,B
1048,Camenbert,G
1049,Ricotta,F
1050,Gorgonzola,E
1051,Roquefort,D
1052,Ricotta,G
1053,Cheddar,A
1054,Camenbert,C
1055,Camenbert,B
1056,Gorgonzola,A
1057,Camenbert,H
1058,Camenbert,H
1059,Annon,A
1060,Cheddar,D
1061,Annon,G
1062,Gorgonzola,A
1063,Brie,H
1064,Roquefort,F
1065,Camenbert,G
1066,Ricotta,C
1067,Cheddar,A
1068,Valencay,F
1069,Brie,E
1070,Roquefort,C
1071,Brie,E
1072,Ricotta,A
1073,Camenbert,D
1074,Valencay,B
1075,Brie,F
1076,Annon,H
1077,Gorgonzola,E
1078,Valencay,D
1079,Camenbert,D
1080,Ricotta,B
1081,Ricotta,D
1082,Gorgonzola,E
1083,Ricotta,A
1084,Annon,A
1085,Annon,C
1086,Brie,C
1087,Valencay,F
1088,Brie,B
1089,Cheddar,G
1090,Gorgonzola,F
1091,Camenbert,H
1092,Brie,F
1093,Ricotta,D
1094,Gorgonzola,C
1095,Valencay,E
1096,Annon,D
1097,Valencay,D
1098,Valencay,D
1099,Cheddar,H
1100,Valencay,C
1101,Roquefort,B
1102,Ricotta,C
1103,Valencay,B
1104,Cheddar,D
1105,Gorgonzola,G
1106,Ricotta,G
1107,Gorgonzola,G
1108,Roquefort,E
1109,Brie,B
1110,Brie,H
1111,Annon,F
1112,Cheddar,C
1113,Annon,E
1114,Ricotta,H
1115,Brie,G
1116,Valencay,B
1117,Gorgonzola,D
1118,Brie,D
1119,Gorgonzola,H
1120,Annon,C
1121,Roquefort,D
1122,Roquefort,H
1123,Camenbert,G
1124,Gorgonzola,C
1125,Brie,H
1126,Gorgonzola,B
1127,Ricotta,E
1128,Cheddar,A
1129,Brie,G
1130,Cheddar,D
1131,Roquefort,D
1132,Ricotta,B
1133,Annon,B
1134,Brie,E
1135,Ricotta,E
1136,Camenbert,G
1137,Cheddar,A
1138,Roquefort,G
1139,Roquefort,A
1140,Annon,F
1141,Valencay,C
1142,Camenbert,H
1143,Ricotta,A
1144,Annon,D
1145,Brie,A
1146,Valencay,D
1147,Cheddar,A
1148,Camenbert,G
1149,Camenbert,E
1150,,G
1151,Gorgonzola,G
1152,Brie,A
1153,Cheddar,E
1154,Valencay,B
1155,Cheddar,D
1156,Ricotta,D
1157,Valencay,E
1158,Annon,C
1159,Valencay,D
1160,Annon,G
1161,Valencay,E
1162,Gorgonzola,E
1163,Gorgonzola,B
1164,Roquefort,H
1165,Brie,A
1166,Brie,D
1167,Ricotta,A
1168,Gorgonzola,D
1169,,G
1170,Annon,E
1171,Annon,B
1172,Ricotta,E
1173,Annon,F
1174,Ricotta,C
1175,Gorgonzola,D
1176,Cheddar,C
1177,Annon,E
1178,Annon,E
1179,Brie,F
1180,Gorgonzola,C
1181,Cheddar,D
1182,Camenbert,B
1183,Brie,F
1184,Camenbert,F
1185,Ricotta,H
1186,Valencay,B
1187,Camenbert,G
1188,Brie,B
1189,Brie,E
1190,Cheddar,E
1191,Valencay,H
1192,Camenbert,E
1193,Ricotta,G
1194,Roquefort,C
1195,Camenbert,B
1196,Annon,E
1197,Ricotta,D
1198,Roquefort,E
1199,Valencay,H
1200,Annon,A
1201,Gorgonzola,G
1202,Ricotta,F
1203,Valencay,B
1204,Valencay,D
1205,Roquefort,A
1206,Valencay,C
1207,Cheddar,F
1208,Valencay,E
1209,Gorgonzola,C
1210,Gorgonzola,C
1211,Brie,F
1212,Ricotta,B
1213,Cheddar,H
1214,Ricotta,H
1215,Ricotta,E
1216,Brie,C
1217,Gorgonzola,D
1218,,A
1219,Cheddar,B
1220,Brie,C
1221,Camenbert,G
1222,Roquefort,D
1223,Gorgonzola,E
1224,Camenbert,D
1225,Roquefort,H
1226,Brie,D
1227,Roquefort,D
1228,Camenbert,F
1229,Annon,F
1230,Camenbert,D
1231,Annon,H
1232,Cheddar,F
1233,Cheddar,C
1234,Annon,B
1235,Ricotta,C
1236,Roquefort,E
1237,Valencay,D
1238,Ricotta,D
1239,Brie,A
1240,Gorgonzola,E
1241,Annon,A
1242,Gorgonzola,E
1243,Roquefort,H
1244,Gorgonzola,D
1245,Annon,E
1246,Roquefort,H
1247,Cheddar,G
1248,Ricotta,D
1249,Valencay,G
1250,Cheddar,C
1251,Annon,E
1252,Camenbert,B
1253,Valencay,C
1254,Valencay,G
1255,Camenbert,H
1256,Camenbert,C
1257,Annon,G
1258,Gorgonzola,F
1259,Annon,B
1260,Roquefort,F
1261,Gorgonzola,D
1262,Valencay,A
1263,Gorgonzola,A
1264,Valencay,C
1265,Ricotta,B
1266,Brie,C
1267,Roquefort,A
1268,Gorgonzola,H
1269,Annon,F
1270,Cheddar,D
1271,Annon,A
1272,Valencay,E
1273,Cheddar,A
1274,Camenbert,E
1275,Valencay,G
1276,Cheddar,E
1277,Gorgonzola,E
1278,Annon,E
1279,Valencay,C
1280,Brie,E
1281,Annon,C
1282,Ricotta,E
1283,Valencay,D
1284,Brie,G
1285,Camenbert,E
1286,Cheddar,G
1287,Camenbert,H
1288,Brie,A
1289,Gorgonzola,C
1290,Valencay,B
1291,Roquefort,C
1292,Camenbert,C
1293,Valencay,E
1294,Cheddar,A
1295,Annon,B
1296,Valencay,E
1297,Gorgonzola,B
1298,Roquefort,H
1299,Valencay,C
1300,Annon,B
1301,Brie,D
1302,Annon,E
1303,Brie,C
1304,Annon,B
1305,Gorgonzola,D
1306,Gorgonzola,B
1307,Gorgonzola,E
1308,Roquefort,H
1309,Brie,A
1310,Brie,C
1311,Annon,E
1312,Brie,G
1313,Cheddar,A
1314,Roquefort,E
1315,Ricotta,A
1316,Cheddar,A
1317,Brie,A
1318,Annon,B
1319,Annon,F
1320,Annon,G
1321,Valencay,A
1322,Valencay,A
1323,Gorgonzola,H
1324,Roquefort,E
1325,Camenbert,D
1326,Brie,E
1327,Camenbert,B
1328,Ricotta,H
1329,Valencay,C
1330,Gorgonzola,C
1331,Valencay,D
1332,Cheddar,D
1333,Brie,D
1334,Valencay,E
1335,Camenbert,D
1336,Annon,H
1337,Brie,G
1338,Cheddar,C
1339,Camenbert,F
1340,Ricotta,D
1341,Cheddar,H
1342,Annon,D
1343,Cheddar,C
1344,Cheddar,B
1345,Brie,D
1346,Cheddar,D
1347,Camenbert,E
1348,Gorgonzola,C
1349,Annon,D
1350,Brie,H
1351,Camenbert,D
1352,Gorgonzola,A
1353,Gorgonzola,F
1354,Valencay,D
1355,Camenbert,B
1356,Camenbert,B
1357,Gorgonzola,H
1358,Ricotta,G
1359,Cheddar,B
1360,Annon,E
1361,Annon,B
1362,Valencay,B
1363,Ricotta,D
1364,Annon,G
1365,Roquefort,D
1366,Gorgonzola,B
1367,Brie,D
1368,Camenbert,E
1369,Roquefort,H
1370,Ricotta,G
1371,Camenbert,H
1372,Annon,H
1373,Cheddar,B
1374,Annon,E
1375,Camenbert,F
1376,Cheddar,G
1377,Ricotta,B
1378,Annon,E
1379,Brie,H
1380,Cheddar,D
1381,Ricotta,E
1382,Valencay,D
1383,Annon,D
1384,Brie,C
1385,Annon,G
1386,Annon,D
1387,Ricotta,H
1388,Roquefort,D
1389,Camenbert,D
1390,Gorgonzola,G
1391,Gorgonzola,B
1392,Gorgonzola,A
1393,Annon,D
1394,Valencay,B
1395,Ricotta,E
1396,Roquefort,B
1397,Brie,H
1398,Camenbert,C
1399,Brie,H
1400,Camenbert,D
1401,Cheddar,G
1402,Roquefort,C
1403,Camenbert,F
1404,Ricotta,C
1405,Cheddar,G
1406,Gorgonzola,D
1407,Brie,G
1408,Camenbert,F
1409,Camenbert,C
1410,Gorgonzola,D
1411,Annon,A
1412,Ricotta,B
1413,Roquefort,C
1414,Ricotta,E
1415,Brie,G
1416,Annon,E
1417,Annon,E
1418,Annon,G
1419,Gorgonzola,B
1420,Valencay,E
1421,Ricotta,B
1422,Brie,E
1423,Annon,C
1424,Valencay,F
1425,Brie,E
