seq,gender,age,job,marital,province,city,choice
36,MALE,40대,공무원,MARREID,경상도,포항시 남구,F
37,MALE,30대,벤처직원,MARREID,부산시,사하구,G
38,MALE,50대,공무원,MARREID,충청도,천안시,E
39,FEMALE,30대,벤처직원,,경기도,안양시,E
40,FEMALE,40대,공무원,SINGLE,부산시,해운대구,F
41,MALE,30대,중소기업직원,MARREID,부산시,사하구,A
42,FEMALE,50대,자영업,SINGLE,서울시,양천구,C
43,MALE,30대,임시직,MARREID,충청도,청주시,G
44,MALE,20대,학생,MARREID,충청도,청주시,D
45,FEMALE,20대,벤처직원,MARREID,경기도,안양시,B
46,FEMALE,40대,임시직,SINGLE,충청도,청주시,A
47,MALE,30대,교수,MARREID,서울시,강남구,E
48,FEMALE,50대,벤처직원,MARREID,부산시,사하구,D
49,MALE,40대,교수,MARREID,부산시,기장군,F
50,FEMALE,50대,변호사,MARREID,경상도,포항시 남구,C
51,MALE,40대,벤처직원,MARREID,전라도,익산시,D
52,MALE,30대,벤처직원,MARREID,부산시,사하구,E
53,MALE,30대,의사,SINGLE,전라도,곡성군,G
54,FEMALE,20대,중소기업직원,MARREID,충청도,홍성군,C
55,MALE,20대,중소기업직원,SINGLE,부산시,해운대구,C
56,FEMALE,30대,벤처직원,MARREID,경기도,평택시,E
57,MALE,50대,변호사,SINGLE,경상도,포항시 남구,H
58,FEMALE,40대,변호사,MARREID,경기도,화성시,D
59,FEMALE,50대,자영업,MARREID,경기도,포천시,D
60,MALE,50대,회사직원,SINGLE,서울시,양천구,E
61,FEMALE,40대,벤처직원,SINGLE,충청도,청주시,D
62,MALE,40대,회사직원,MARREID,부산시,해운대구,G
63,MALE,40대,자영업,MARREID,경기도,포천시,H
64,FEMALE,20대,학생,MARREID,충청도,청주시,B
65,FEMALE,40대,교수,MARREID,서울시,강북구,C
66,MALE,40대,자영업,SINGLE,부산시,사하구,H
67,FEMALE,20대,자영업,MARREID,전라도,광양시,E
68,FEMALE,50대,임시직,SINGLE,서울시,강남구,E
69,FEMALE,30대,벤처직원,SINGLE,경상도,포항시 남구,B
70,MALE,50대,회사직원,MARREID,부산시,해운대구,A
71,FEMALE,30대,임시직,MARREID,충청도,청주시,F
72,MALE,30대,자영업,MARREID,충청도,홍성군,D
73,FEMALE,50대,자영업,MARREID,충청도,천안시,H
74,MALE,40대,벤처직원,MARREID,서울시,마포구,D
75,MALE,30대,벤처직원,MARREID,서울시,강동구,G
76,FEMALE,30대,중소기업직원,SINGLE,충청도,홍성군,E
77,FEMALE,30대,자영업,MARREID,부산시,해운대구,D
78,FEMALE,40대,교수,MARREID,경기도,포천시,F
79,FEMALE,40대,공무원,MARREID,전라도,구례군,H
80,MALE,50대,회사직원,,부산시,해운대구,A
81,MALE,50대,연구원,MARREID,부산시,사하구,A
82,FEMALE,40대,회사직원,,경기도,평택시,D
83,FEMALE,40대,자영업,SINGLE,서울시,강동구,B
84,MALE,50대,중소기업직원,MARREID,서울시,강북구,H
85,MALE,30대,공무원,SINGLE,경상도,포항시 북구,C
86,FEMALE,20대,임시직,MARREID,경상도,거제시,D
87,FEMALE,40대,변호사,MARREID,부산시,해운대구,C
88,MALE,30대,중소기업직원,MARREID,충청도,홍성군,E
89,FEMALE,30대,공무원,SINGLE,부산시,연제구,E
90,FEMALE,30대,변호사,MARREID,서울시,강북구,B
91,FEMALE,50대,자영업,SINGLE,경기도,포천시,D
92,MALE,30대,중소기업직원,MARREID,부산시,기장군,B
93,MALE,30대,의사,SINGLE,충청도,홍성군,F
94,MALE,50대,임시직,MARREID,충청도,청주시,E
95,FEMALE,20대,학생,SINGLE,전라도,광양시,B
96,MALE,20대,학생,MARREID,경상도,함안군,E
97,MALE,30대,자영업,MARREID,부산시,기장군,D
98,FEMALE,40대,중소기업직원,SINGLE,서울시,강동구,D
99,FEMALE,30대,임시직,MARREID,경상도,포항시 남구,B
100,MALE,50대,임시직,SINGLE,부산시,해운대구,B
101,FEMALE,40대,공무원,MARREID,전라도,광양시,B
102,MALE,40대,의사,MARREID,경상도,포항시 남구,F
103,MALE,30대,변호사,MARREID,충청도,청주시,E
104,FEMALE,50대,중소기업직원,MARREID,경기도,포천시,D
105,MALE,30대,벤처직원,MARREID,부산시,사하구,F
106,MALE,40대,교수,MARREID,부산시,해운대구,B
107,MALE,20대,벤처직원,MARREID,경기도,화성시,B
108,MALE,30대,의사,SINGLE,충청도,청주시,H
109,FEMALE,20대,공무원,MARREID,서울시,강남구,B
110,MALE,30대,의사,MARREID,부산시,해운대구,E
111,MALE,30대,자영업,MARREID,전라도,곡성군,C
112,MALE,30대,임시직,MARREID,서울시,양천구,E
113,MALE,40대,의사,SINGLE,충청도,청주시,G
114,FEMALE,50대,연구원,MARREID,부산시,사하구,B
115,MALE,40대,교수,MARREID,충청도,홍성군,F
116,FEMALE,30대,회사직원,MARREID,부산시,사하구,D
117,FEMALE,20대,자영업,MARREID,부산시,사하구,H
118,FEMALE,50대,회사직원,MARREID,서울시,강남구,B
119,FEMALE,20대,벤처직원,MARREID,경기도,화성시,B
120,FEMALE,40대,자영업,MARREID,부산시,해운대구,A
121,MALE,50대,임시직,SINGLE,경상도,함안군,D
122,FEMALE,30대,벤처직원,MARREID,전라도,익산시,C
123,FEMALE,40대,임시직,MARREID,서울시,강남구,B
124,FEMALE,40대,변호사,SINGLE,부산시,해운대구,C
125,FEMALE,50대,자영업,MARREID,서울시,양천구,C
126,FEMALE,30대,변호사,SINGLE,경상도,포항시 남구,B
127,FEMALE,40대,회사직원,MARREID,경상도,포항시 북구,D
128,FEMALE,20대,학생,SINGLE,경상도,포항시 북구,B
129,MALE,30대,자영업,MARREID,부산시,해운대구,D
130,FEMALE,40대,교수,MARREID,경기도,포천시,C
131,FEMALE,40대,회사직원,SINGLE,충청도,홍성군,G
132,FEMALE,40대,자영업,SINGLE,경기도,가평군,E
133,FEMALE,20대,벤처직원,SINGLE,서울시,강남구,G
134,FEMALE,40대,임시직,MARREID,경기도,가평군,B
135,MALE,40대,벤처직원,MARREID,서울시,강동구,A
136,MALE,20대,자영업,MARREID,경상도,포항시 북구,E
137,FEMALE,30대,기자,SINGLE,경기도,화성시,C
138,FEMALE,30대,공무원,MARREID,전라도,광양시,E
139,MALE,미상,임시직,MARREID,경상도,하동군,H
140,FEMALE,40대,임시직,MARREID,경상도,포항시 남구,H
141,FEMALE,30대,중소기업직원,MARREID,경상도,포항시 남구,G
142,FEMALE,40대,중소기업직원,MARREID,서울시,강남구,D
143,FEMALE,50대,기자,MARREID,서울시,강남구,C
144,FEMALE,30대,자영업,SINGLE,전라도,구례군,H
145,FEMALE,20대,자영업,MARREID,전라도,곡성군,E
146,FEMALE,40대,중소기업직원,SINGLE,부산시,사하구,B
147,FEMALE,40대,중소기업직원,MARREID,경상도,포항시 북구,E
148,MALE,20대,임시직,SINGLE,충청도,청주시,C
149,FEMALE,20대,벤처직원,SINGLE,전라도,구례군,G
150,FEMALE,30대,공무원,SINGLE,경기도,화성시,E
151,MALE,50대,중소기업직원,SINGLE,경상도,함안군,B
152,FEMALE,30대,교수,MARREID,경기도,가평군,E
153,FEMALE,30대,임시직,MARREID,충청도,홍성군,H
154,FEMALE,30대,기자,MARREID,경상도,거제시,E
155,FEMALE,20대,벤처직원,MARREID,서울시,강남구,B
156,FEMALE,20대,자영업,SINGLE,경상도,하동군,C
157,MALE,50대,연구원,SINGLE,서울시,강남구,C
158,FEMALE,30대,벤처직원,MARREID,서울시,마포구,E
159,FEMALE,30대,교수,MARREID,충청도,진천군,B
160,FEMALE,30대,회사직원,MARREID,충청도,청주시,E
161,MALE,30대,공무원,SINGLE,전라도,광양시,H
162,MALE,50대,자영업,MARREID,경상도,함안군,A
163,FEMALE,30대,임시직,MARREID,경기도,가평군,G
164,FEMALE,30대,공무원,MARREID,경상도,포항시 북구,B
165,MALE,50대,벤처직원,MARREID,경기도,안양시,A
166,FEMALE,60대 이상,자영업,MARREID,경기도,포천시,B
167,FEMALE,40대,벤처직원,MARREID,충청도,청주시,H
168,FEMALE,30대,회사직원,SINGLE,서울시,양천구,C
169,FEMALE,50대,벤처직원,MARREID,서울시,강북구,F
170,MALE,50대,공무원,SINGLE,경기도,가평군,B
171,FEMALE,30대,공무원,SINGLE,충청도,청주시,E
172,FEMALE,30대,변호사,MARREID,충청도,청주시,E
173,FEMALE,30대,임시직,MARREID,부산시,해운대구,G
174,MALE,20대,기자,MARREID,경기도,포천시,F
175,FEMALE,30대,중소기업직원,MARREID,경기도,화성시,E
176,FEMALE,40대,자영업,MARREID,부산시,해운대구,G
177,,20대,학생,MARREID,경기도,포천시,B
178,FEMALE,20대,벤처직원,MARREID,충청도,청주시,G
179,MALE,40대,변호사,MARREID,부산시,진구,F
180,FEMALE,30대,임시직,MARREID,서울시,양천구,E
181,FEMALE,30대,연구원,SINGLE,경기도,안양시,E
182,MALE,50대,자영업,MARREID,부산시,진구,D
183,MALE,30대,교수,SINGLE,서울시,강동구,F
184,MALE,50대,의사,SINGLE,서울시,양천구,A
185,FEMALE,40대,자영업,MARREID,부산시,해운대구,E
186,FEMALE,30대,임시직,MARREID,부산시,사하구,H
187,FEMALE,50대,임시직,MARREID,부산시,진구,D
188,MALE,30대,벤처직원,MARREID,서울시,마포구,G
189,FEMALE,30대,의사,MARREID,서울시,양천구,B
190,MALE,30대,변호사,MARREID,서울시,강북구,E
191,FEMALE,40대,중소기업직원,MARREID,경상도,포항시 남구,D
192,FEMALE,20대,자영업,SINGLE,서울시,강동구,A
193,MALE,40대,벤처직원,SINGLE,충청도,청주시,H
194,FEMALE,20대,학생,SINGLE,경상도,함안군,E
195,FEMALE,30대,벤처직원,MARREID,경상도,포항시 남구,G
196,FEMALE,50대,임시직,MARREID,서울시,강동구,E
197,,40대,벤처직원,MARREID,부산시,해운대구,D
198,MALE,40대,공무원,MARREID,부산시,해운대구,A
199,FEMALE,40대,공무원,SINGLE,서울시,강남구,E
200,FEMALE,50대,변호사,SINGLE,경상도,하동군,C
201,MALE,50대,중소기업직원,MARREID,경기도,포천시,D
202,MALE,40대,의사,MARREID,경기도,화성시,F
203,FEMALE,40대,임시직,MARREID,부산시,기장군,E
204,FEMALE,30대,자영업,MARREID,경기도,포천시,D
205,FEMALE,50대,회사직원,MARREID,충청도,청주시,H
206,FEMALE,40대,임시직,SINGLE,경상도,포항시 남구,A
207,FEMALE,30대,중소기업직원,MARREID,경기도,포천시,B
208,MALE,50대,벤처직원,MARREID,부산시,해운대구,A
209,FEMALE,40대,연구원,MARREID,충청도,청주시,C
210,MALE,50대,임시직,MARREID,서울시,강남구,B
211,MALE,50대,회사직원,MARREID,서울시,강동구,H
212,FEMALE,50대,중소기업직원,MARREID,경상도,포항시 남구,D
213,FEMALE,50대,벤처직원,SINGLE,충청도,진천군,C
214,FEMALE,30대,자영업,MARREID,부산시,진구,F
215,FEMALE,40대,임시직,SINGLE,서울시,양천구,H
216,FEMALE,30대,교수,MARREID,서울시,강동구,E
217,FEMALE,50대,임시직,MARREID,충청도,청주시,B
218,FEMALE,40대,임시직,MARREID,부산시,기장군,A
219,FEMALE,30대,중소기업직원,SINGLE,서울시,양천구,C
220,FEMALE,30대,기자,SINGLE,부산시,기장군,E
221,FEMALE,40대,중소기업직원,MARREID,서울시,양천구,D
222,FEMALE,60대 이상,벤처직원,MARREID,서울시,양천구,B
223,MALE,30대,벤처직원,SINGLE,부산시,사하구,H
224,FEMALE,30대,중소기업직원,MARREID,서울시,강동구,E
225,FEMALE,40대,변호사,MARREID,충청도,천안시,C
226,FEMALE,40대,회사직원,SINGLE,경기도,화성시,H
227,FEMALE,30대,변호사,MARREID,경상도,포항시 남구,E
228,MALE,40대,임시직,MARREID,서울시,강동구,C
229,FEMALE,40대,임시직,MARREID,충청도,청주시,H
230,MALE,50대,임시직,MARREID,서울시,강동구,C
231,FEMALE,40대,기자,MARREID,경기도,포천시,H
232,FEMALE,20대,공무원,SINGLE,경상도,하동군,C
233,MALE,30대,교수,MARREID,서울시,양천구,A
234,FEMALE,30대,회사직원,MARREID,경상도,포항시 남구,E
235,FEMALE,50대,임시직,MARREID,부산시,기장군,D
236,FEMALE,40대,공무원,MARREID,부산시,진구,B
237,FEMALE,30대,연구원,MARREID,서울시,강동구,E
238,FEMALE,40대,임시직,MARREID,서울시,강남구,E
239,FEMALE,50대,임시직,MARREID,부산시,기장군,H
240,FEMALE,40대,벤처직원,MARREID,경기도,평택시,D
241,MALE,20대,공무원,SINGLE,부산시,해운대구,F
242,FEMALE,50대,벤처직원,SINGLE,경상도,포항시 남구,H
243,FEMALE,20대,학생,SINGLE,충청도,청주시,B
244,MALE,20대,자영업,MARREID,서울시,강남구,D
245,FEMALE,30대,공무원,MARREID,서울시,강남구,E
246,MALE,30대,자영업,SINGLE,서울시,마포구,A
247,FEMALE,20대,자영업,MARREID,충청도,청주시,G
248,MALE,30대,벤처직원,SINGLE,경기도,화성시,H
249,FEMALE,50대,벤처직원,SINGLE,경상도,포항시 남구,D
250,FEMALE,50대,연구원,SINGLE,경기도,화성시,C
251,MALE,50대,중소기업직원,SINGLE,서울시,강남구,F
252,FEMALE,20대,벤처직원,MARREID,서울시,강동구,C
253,FEMALE,40대,벤처직원,MARREID,서울시,강남구,D
254,MALE,40대,연구원,SINGLE,부산시,해운대구,C
255,MALE,30대,교수,MARREID,경상도,함안군,E
256,FEMALE,50대,공무원,MARREID,부산시,해운대구,D
257,MALE,40대,벤처직원,MARREID,서울시,강동구,F
258,FEMALE,40대,자영업,MARREID,서울시,강남구,G
259,FEMALE,50대,벤처직원,MARREID,부산시,사하구,D
260,MALE,30대,중소기업직원,MARREID,충청도,천안시,E
261,MALE,50대,임시직,SINGLE,부산시,해운대구,G
262,MALE,20대,학생,SINGLE,서울시,양천구,D
263,MALE,30대,회사직원,MARREID,경상도,함안군,E
264,FEMALE,30대,기자,MARREID,경기도,가평군,D
265,FEMALE,20대,벤처직원,MARREID,전라도,구례군,C
266,FEMALE,50대,중소기업직원,SINGLE,경상도,포항시 북구,D
267,FEMALE,40대,중소기업직원,MARREID,경기도,포천시,E
268,MALE,50대,공무원,MARREID,충청도,진천군,B
269,FEMALE,40대,자영업,SINGLE,경상도,포항시 북구,D
270,FEMALE,30대,변호사,MARREID,경기도,포천시,E
271,MALE,40대,임시직,SINGLE,경상도,하동군,G
272,FEMALE,30대,변호사,MARREID,충청도,청주시,B
273,MALE,30대,회사직원,SINGLE,부산시,기장군,H
274,FEMALE,30대,중소기업직원,MARREID,충청도,청주시,E
275,FEMALE,30대,자영업,SINGLE,부산시,해운대구,H
276,MALE,20대,학생,MARREID,서울시,양천구,C
277,FEMALE,20대,공무원,MARREID,경상도,포항시 남구,B
278,FEMALE,40대,공무원,MARREID,부산시,사하구,D
279,FEMALE,40대,벤처직원,MARREID,경기도,포천시,D
280,MALE,20대,중소기업직원,MARREID,충청도,천안시,D
281,MALE,40대,자영업,MARREID,부산시,기장군,F
282,FEMALE,40대,의사,MARREID,부산시,기장군,C
283,MALE,50대,벤처직원,SINGLE,충청도,홍성군,A
284,FEMALE,20대,자영업,MARREID,경상도,하동군,F
285,FEMALE,40대,공무원,MARREID,경상도,포항시 남구,D
286,FEMALE,30대,회사직원,MARREID,충청도,홍성군,E
287,FEMALE,30대,기자,MARREID,충청도,청주시,C
288,FEMALE,40대,벤처직원,SINGLE,부산시,해운대구,D
289,FEMALE,30대,기자,MARREID,서울시,양천구,B
,FEMALE,40대,교수,SINGLE,부산시,해운대구,G
291,FEMALE,30대,임시직,MARREID,부산시,연제구,H
292,FEMALE,20대,임시직,SINGLE,전라도,익산시,F
293,FEMALE,40대,중소기업직원,MARREID,충청도,청주시,H
294,MALE,40대,임시직,MARREID,경기도,화성시,E
295,MALE,20대,자영업,SINGLE,경기도,화성시,F
296,MALE,30대,중소기업직원,MARREID,서울시,강남구,F
297,MALE,40대,임시직,MARREID,서울시,강남구,H
298,FEMALE,20대,자영업,MARREID,부산시,기장군,H
299,MALE,30대,공무원,MARREID,서울시,강동구,E
300,MALE,40대,회사직원,MARREID,충청도,청주시,F
301,MALE,40대,벤처직원,MARREID,전라도,해남군,F
302,FEMALE,20대,자영업,MARREID,부산시,연제구,F
303,FEMALE,20대,자영업,MARREID,서울시,강북구,A
304,MALE,40대,벤처직원,MARREID,전라도,해남군,G
305,FEMALE,30대,자영업,MARREID,서울시,마포구,H
306,FEMALE,50대,공무원,MARREID,서울시,강남구,B
307,MALE,20대,자영업,MARREID,경상도,거제시,B
308,FEMALE,50대,자영업,MARREID,부산시,해운대구,H
309,FEMALE,30대,공무원,MARREID,부산시,진구,E
310,FEMALE,50대,변호사,MARREID,서울시,양천구,C
311,FEMALE,30대,중소기업직원,MARREID,경상도,포항시 남구,E
312,MALE,50대,자영업,SINGLE,서울시,강남구,B
313,FEMALE,20대,학생,MARREID,서울시,양천구,B
314,FEMALE,40대,연구원,MARREID,경기도,안양시,H
315,FEMALE,30대,회사직원,MARREID,충청도,청주시,C
316,FEMALE,50대,임시직,SINGLE,전라도,구례군,B
317,MALE,30대,임시직,SINGLE,전라도,익산시,B
318,FEMALE,30대,자영업,MARREID,부산시,사하구,E
319,MALE,40대,중소기업직원,SINGLE,충청도,청주시,H
320,FEMALE,40대,기자,MARREID,충청도,홍성군,C
321,FEMALE,40대,자영업,SINGLE,경상도,포항시 남구,H
322,MALE,30대,중소기업직원,MARREID,경상도,포항시 남구,F
323,MALE,50대,자영업,MARREID,경상도,포항시 북구,D
324,MALE,20대,변호사,MARREID,전라도,광양시,B
325,FEMALE,30대,회사직원,MARREID,충청도,청주시,E
326,MALE,20대,학생,MARREID,서울시,양천구,H
327,FEMALE,30대,임시직,SINGLE,전라도,해남군,F
328,MALE,20대,공무원,MARREID,충청도,홍성군,B
329,MALE,50대,교수,MARREID,서울시,마포구,D
330,FEMALE,50대,벤처직원,MARREID,경상도,포항시 남구,B
331,MALE,20대,자영업,MARREID,서울시,양천구,E
332,FEMALE,40대,임시직,MARREID,경기도,안양시,E
333,FEMALE,50대,교수,MARREID,경상도,포항시 북구,C
334,MALE,40대,자영업,MARREID,서울시,강동구,B
335,MALE,20대,자영업,MARREID,부산시,사하구,E
336,MALE,30대,벤처직원,SINGLE,서울시,강남구,F
337,MALE,30대,벤처직원,MARREID,서울시,강동구,F
338,MALE,30대,공무원,SINGLE,충청도,천안시,C
339,MALE,30대,기자,SINGLE,서울시,강남구,G
340,FEMALE,20대,학생,SINGLE,서울시,강동구,B
341,FEMALE,30대,벤처직원,SINGLE,충청도,홍성군,E
342,FEMALE,50대,중소기업직원,MARREID,서울시,마포구,F
343,FEMALE,40대,교수,SINGLE,충청도,청주시,H
344,MALE,20대,공무원,MARREID,전라도,익산시,E
345,FEMALE,50대,공무원,SINGLE,서울시,양천구,D
346,FEMALE,40대,공무원,SINGLE,경상도,포항시 남구,D
347,FEMALE,20대,자영업,MARREID,경기도,화성시,E
348,MALE,40대,연구원,MARREID,충청도,홍성군,F
349,MALE,40대,임시직,SINGLE,서울시,마포구,C
350,FEMALE,30대,임시직,SINGLE,부산시,기장군,A
351,MALE,30대,임시직,SINGLE,부산시,사하구,D
352,FEMALE,40대,의사,MARREID,경상도,거제시,C
353,FEMALE,30대,중소기업직원,MARREID,부산시,해운대구,B
354,FEMALE,30대,벤처직원,MARREID,충청도,홍성군,E
355,FEMALE,30대,벤처직원,MARREID,경기도,가평군,E
356,FEMALE,30대,변호사,MARREID,부산시,기장군,G
357,FEMALE,30대,벤처직원,MARREID,서울시,강남구,E
358,FEMALE,40대,자영업,MARREID,경기도,포천시,B
359,FEMALE,40대,공무원,MARREID,경기도,안양시,H
360,MALE,40대,공무원,SINGLE,서울시,양천구,H
361,FEMALE,50대,중소기업직원,MARREID,서울시,강북구,D
362,FEMALE,30대,임시직,MARREID,충청도,진천군,C
363,MALE,50대,자영업,MARREID,서울시,강남구,D
364,FEMALE,40대,회사직원,MARREID,서울시,강남구,D
365,MALE,30대,연구원,SINGLE,전라도,구례군,F
366,FEMALE,40대,변호사,SINGLE,부산시,해운대구,C
367,FEMALE,40대,변호사,MARREID,경기도,평택시,C
368,FEMALE,40대,기자,MARREID,충청도,홍성군,C
369,FEMALE,30대,연구원,SINGLE,경상도,하동군,E
370,MALE,40대,중소기업직원,SINGLE,서울시,강동구,H
371,FEMALE,50대,교수,SINGLE,부산시,연제구,C
372,MALE,30대,공무원,MARREID,부산시,기장군,E
373,FEMALE,20대,공무원,MARREID,경기도,가평군,A
374,FEMALE,50대,변호사,MARREID,서울시,강북구,C
375,FEMALE,30대,의사,MARREID,서울시,강동구,E
376,FEMALE,40대,임시직,MARREID,부산시,해운대구,H
377,MALE,30대,공무원,MARREID,서울시,양천구,E
378,FEMALE,40대,회사직원,SINGLE,부산시,기장군,D
379,FEMALE,30대,공무원,SINGLE,서울시,강동구,A
380,FEMALE,40대,변호사,MARREID,충청도,진천군,E
381,FEMALE,20대,학생,MARREID,부산시,해운대구,E
382,MALE,50대,자영업,MARREID,충청도,충주시,G
383,MALE,30대,중소기업직원,MARREID,서울시,양천구,D
384,FEMALE,50대,자영업,SINGLE,경기도,포천시,H
385,MALE,20대,자영업,MARREID,충청도,진천군,H
386,FEMALE,40대,의사,MARREID,전라도,해남군,C
387,FEMALE,50대,임시직,SINGLE,부산시,사하구,D
388,MALE,20대,자영업,MARREID,부산시,사하구,G
389,FEMALE,30대,공무원,MARREID,서울시,강남구,A
390,FEMALE,50대,연구원,MARREID,충청도,천안시,C
391,FEMALE,40대,중소기업직원,SINGLE,경상도,함안군,D
392,MALE,50대,자영업,MARREID,전라도,해남군,H
393,MALE,40대,회사직원,MARREID,경기도,가평군,G
394,MALE,50대,자영업,SINGLE,경상도,포항시 남구,D
395,MALE,20대,학생,SINGLE,경기도,안양시,E
396,FEMALE,40대,벤처직원,MARREID,서울시,강남구,G
397,FEMALE,30대,공무원,SINGLE,경상도,포항시 남구,F
398,FEMALE,50대,자영업,MARREID,서울시,강남구,H
399,FEMALE,40대,연구원,MARREID,서울시,강동구,D
400,FEMALE,40대,중소기업직원,MARREID,부산시,연제구,D
401,MALE,40대,임시직,SINGLE,서울시,강남구,C
402,MALE,50대,벤처직원,MARREID,서울시,양천구,C
403,MALE,40대,공무원,MARREID,부산시,진구,F
404,MALE,20대,자영업,MARREID,충청도,청주시,A
405,FEMALE,40대,의사,MARREID,부산시,기장군,C
406,FEMALE,50대,임시직,MARREID,부산시,사하구,G
407,FEMALE,40대,임시직,MARREID,경기도,가평군,H
408,FEMALE,30대,교수,MARREID,경기도,평택시,E
409,FEMALE,30대,자영업,MARREID,경기도,평택시,A
410,FEMALE,50대,회사직원,MARREID,부산시,해운대구,D
411,FEMALE,40대,공무원,SINGLE,경기도,안양시,D
412,MALE,20대,자영업,MARREID,부산시,해운대구,F
413,FEMALE,30대,벤처직원,MARREID,경상도,하동군,G
414,FEMALE,30대,회사직원,MARREID,충청도,청주시,B
415,FEMALE,20대,벤처직원,MARREID,서울시,강동구,A
416,FEMALE,50대,임시직,MARREID,충청도,청주시,E
417,FEMALE,40대,교수,MARREID,부산시,진구,A
418,FEMALE,50대,자영업,MARREID,부산시,사하구,D
419,FEMALE,40대,연구원,MARREID,서울시,강남구,C
420,FEMALE,20대,벤처직원,SINGLE,서울시,강남구,C
421,FEMALE,50대,자영업,SINGLE,부산시,기장군,G
422,MALE,50대,연구원,MARREID,서울시,강남구,E
423,FEMALE,40대,임시직,MARREID,서울시,강북구,B
424,FEMALE,50대,의사,SINGLE,경기도,포천시,C
425,MALE,40대,벤처직원,MARREID,경상도,거제시,F
426,FEMALE,50대,의사,MARREID,경기도,평택시,C
427,MALE,30대,연구원,MARREID,서울시,강남구,E
428,MALE,20대,중소기업직원,MARREID,부산시,해운대구,E
429,MALE,40대,공무원,SINGLE,경기도,가평군,H
430,FEMALE,20대,학생,SINGLE,경기도,안양시,B
431,FEMALE,20대,학생,MARREID,서울시,강동구,B
432,FEMALE,20대,자영업,SINGLE,부산시,해운대구,D
433,FEMALE,30대,회사직원,SINGLE,부산시,해운대구,E
434,FEMALE,20대,회사직원,MARREID,경상도,거제시,D
435,MALE,40대,임시직,MARREID,서울시,강동구,D
436,MALE,40대,벤처직원,MARREID,부산시,해운대구,G
437,FEMALE,40대,임시직,MARREID,부산시,기장군,E
438,FEMALE,20대,벤처직원,SINGLE,경기도,포천시,B
439,MALE,20대,벤처직원,MARREID,서울시,강북구,D
440,FEMALE,20대,학생,SINGLE,부산시,연제구,A
441,FEMALE,30대,벤처직원,SINGLE,서울시,강남구,E
442,MALE,60대 이상,교수,MARREID,경기도,화성시,H
443,FEMALE,40대,중소기업직원,SINGLE,부산시,기장군,G
444,MALE,50대,중소기업직원,MARREID,서울시,강북구,F
445,FEMALE,40대,자영업,MARREID,충청도,홍성군,H
446,FEMALE,50대,중소기업직원,SINGLE,서울시,강동구,B
447,FEMALE,20대,회사직원,MARREID,서울시,강남구,B
448,FEMALE,30대,기자,SINGLE,서울시,강동구,B
449,FEMALE,50대,기자,SINGLE,경상도,포항시 남구,B
450,FEMALE,20대,교수,SINGLE,부산시,기장군,B
451,MALE,20대,자영업,SINGLE,전라도,익산시,A
452,MALE,30대,중소기업직원,SINGLE,부산시,연제구,F
453,FEMALE,20대,자영업,,경상도,하동군,A
454,MALE,50대,연구원,MARREID,충청도,청주시,A
455,FEMALE,40대,중소기업직원,MARREID,부산시,해운대구,E
456,MALE,50대,벤처직원,MARREID,부산시,해운대구,A
457,FEMALE,20대,자영업,SINGLE,서울시,양천구,B
458,MALE,20대,자영업,MARREID,경기도,평택시,D
