seq,prefer,frequency,wineFrequency
201,¥Áµµ,2,1
202,±Ì¿Ã∞®,6,1
203,±Ì¿Ã∞®,3,1
204,±Ì¿Ã∞®,2,1
205,±Ì¿Ã∞®,2,1
206,±Ì¿Ã∞®,3,2
207,¥Áµµ,1,1
208,¥Áµµ,3,1
209,¥Áµµ,4,2
210,¥Áµµ,3,1
211,¥Áµµ,2,1
212,±Ì¿Ã∞®,2,1
213,¥Áµµ,2,1
214,¥Áµµ,4,1
215,¥Áµµ,3,2
216,±Ì¿Ã∞®,6,2
217,¥Áµµ,3,1
218,±Ì¿Ã∞®,3,1
219,¥Áµµ,2,1
220,¥Áµµ,1,1
221,±Ì¿Ã∞®,2,1
222,±Ì¿Ã∞®,1,1
223,¥Áµµ,1,1
224,¥Áµµ,3,2
225,¥Áµµ,2,1
226,¥Áµµ,1,1
227,±Ì¿Ã∞®,2,1
228,¥Áµµ,1,1
229,±Ì¿Ã∞®,5,3
230,¥Áµµ,2,1
231,±Ì¿Ã∞®,3,1
232,¥Áµµ,1,1
233,±Ì¿Ã∞®,3,2
234,±Ì¿Ã∞®,2,1
235,¥Áµµ,3,1
236,¥Áµµ,4,3
237,±Ì¿Ã∞®,1,1
238,±Ì¿Ã∞®,2,1
239,¥Áµµ,1,1
240,¥Áµµ,3,1
241,¥Áµµ,2,1
242,±Ì¿Ã∞®,2,1
243,±Ì¿Ã∞®,4,3
244,±Ì¿Ã∞®,2,1
245,±Ì¿Ã∞®,2,1
246,¥Áµµ,1,1
247,¥Áµµ,3,2
248,±Ì¿Ã∞®,2,1
249,¥Áµµ,3,2
250,¥Áµµ,2,1
251,¥Áµµ,3,2
252,¥Áµµ,1,1
253,¥Áµµ,4,1
254,¥Áµµ,1,1
255,¥Áµµ,4,2
256,¥Áµµ,3,2
257,±Ì¿Ã∞®,3,1
258,±Ì¿Ã∞®,5,3
259,±Ì¿Ã∞®,2,1
260,±Ì¿Ã∞®,3,2
261,¥Áµµ,1,1
262,±Ì¿Ã∞®,1,1
263,¥Áµµ,2,1
264,¥Áµµ,2,1
265,¥Áµµ,2,1
266,±Ì¿Ã∞®,3,1
267,±Ì¿Ã∞®,1,1
268,¥Áµµ,2,1
269,¥Áµµ,3,2
270,±Ì¿Ã∞®,1,1
271,±Ì¿Ã∞®,4,2
272,¥Áµµ,4,3
273,±Ì¿Ã∞®,2,1
274,±Ì¿Ã∞®,2,1
275,±Ì¿Ã∞®,2,1
276,¥Áµµ,3,1
277,±Ì¿Ã∞®,5,1
278,±Ì¿Ã∞®,3,2
279,±Ì¿Ã∞®,2,1
280,¥Áµµ,1,1
281,¥Áµµ,2,1
282,±Ì¿Ã∞®,3,1
283,¥Áµµ,3,2
284,¥Áµµ,2,1
285,¥Áµµ,4,3
286,¥Áµµ,2,1
287,±Ì¿Ã∞®,2,1
288,±Ì¿Ã∞®,2,1
289,±Ì¿Ã∞®,3,2
290,¥Áµµ,4,3
291,¥Áµµ,1,1
292,¥Áµµ,2,1
293,±Ì¿Ã∞®,2,1
294,¥Áµµ,3,2
295,±Ì¿Ã∞®,2,1
296,±Ì¿Ã∞®,4,2
297,±Ì¿Ã∞®,2,1
298,±Ì¿Ã∞®,4,3
299,¥Áµµ,3,2
300,¥Áµµ,4,1
301,±Ì¿Ã∞®,1,1
302,¥Áµµ,2,1
303,¥Áµµ,3,2
304,¥Áµµ,1,1
305,¥Áµµ,3,2
306,¥Áµµ,2,1
307,¥Áµµ,1,1
308,¥Áµµ,1,1
309,¥Áµµ,2,1
310,±Ì¿Ã∞®,1,1
311,±Ì¿Ã∞®,2,1
312,±Ì¿Ã∞®,1,1
313,¥Áµµ,2,1
314,¥Áµµ,2,1
315,±Ì¿Ã∞®,2,1
316,¥Áµµ,3,2
317,±Ì¿Ã∞®,2,1
318,±Ì¿Ã∞®,2,1
319,¥Áµµ,3,2
320,±Ì¿Ã∞®,3,2
321,±Ì¿Ã∞®,2,1
322,±Ì¿Ã∞®,2,1
323,¥Áµµ,3,1
324,±Ì¿Ã∞®,3,1
325,±Ì¿Ã∞®,2,1
326,±Ì¿Ã∞®,1,1
327,±Ì¿Ã∞®,4,1
328,¥Áµµ,2,1
329,¥Áµµ,3,2
330,¥Áµµ,3,2
331,¥Áµµ,3,1
332,±Ì¿Ã∞®,3,1
333,±Ì¿Ã∞®,5,1
334,¥Áµµ,2,1
335,¥Áµµ,1,1
336,¥Áµµ,3,1
337,¥Áµµ,1,1
338,±Ì¿Ã∞®,3,1
339,¥Áµµ,2,1
340,±Ì¿Ã∞®,2,1
341,±Ì¿Ã∞®,3,2
342,¥Áµµ,3,1
343,¥Áµµ,3,2
344,±Ì¿Ã∞®,3,2
345,±Ì¿Ã∞®,3,2
346,¥Áµµ,2,1
347,±Ì¿Ã∞®,2,1
348,±Ì¿Ã∞®,3,2
349,¥Áµµ,4,3
350,¥Áµµ,5,2
351,±Ì¿Ã∞®,5,1
352,±Ì¿Ã∞®,3,1
353,±Ì¿Ã∞®,3,1
354,¥Áµµ,2,1
355,¥Áµµ,3,2
356,±Ì¿Ã∞®,2,1
357,±Ì¿Ã∞®,2,1
358,±Ì¿Ã∞®,2,1
359,¥Áµµ,2,1
360,±Ì¿Ã∞®,2,1
361,¥Áµµ,1,1
362,±Ì¿Ã∞®,3,1
363,¥Áµµ,1,1
364,±Ì¿Ã∞®,1,1
365,±Ì¿Ã∞®,3,2
366,¥Áµµ,3,1
367,¥Áµµ,4,1
368,±Ì¿Ã∞®,1,1
369,±Ì¿Ã∞®,4,1
370,¥Áµµ,3,2
371,¥Áµµ,2,1
372,¥Áµµ,1,1
373,±Ì¿Ã∞®,2,1
374,¥Áµµ,3,2
375,¥Áµµ,2,1
376,¥Áµµ,2,1
377,¥Áµµ,2,1
378,¥Áµµ,2,1
379,¥Áµµ,2,1
380,¥Áµµ,3,2
381,¥Áµµ,2,1
382,±Ì¿Ã∞®,3,2
383,±Ì¿Ã∞®,3,2
384,¥Áµµ,3,2
385,¥Áµµ,1,1
386,±Ì¿Ã∞®,4,1
387,¥Áµµ,2,1
388,¥Áµµ,2,1
389,±Ì¿Ã∞®,2,1
390,¥Áµµ,3,1
391,¥Áµµ,3,1
392,±Ì¿Ã∞®,2,1
393,¥Áµµ,3,1
394,¥Áµµ,1,1
395,±Ì¿Ã∞®,3,2
396,±Ì¿Ã∞®,4,2
397,±Ì¿Ã∞®,2,1
398,±Ì¿Ã∞®,4,2
399,±Ì¿Ã∞®,3,2
400,¥Áµµ,3,1
401,¥Áµµ,2,1
402,¥Áµµ,3,1
403,±Ì¿Ã∞®,2,1
404,±Ì¿Ã∞®,1,1
405,¥Áµµ,2,1
406,±Ì¿Ã∞®,2,1
407,¥Áµµ,3,1
408,¥Áµµ,3,2
409,¥Áµµ,3,1
410,±Ì¿Ã∞®,4,3
411,±Ì¿Ã∞®,3,1
412,±Ì¿Ã∞®,2,1
413,±Ì¿Ã∞®,2,1
414,±Ì¿Ã∞®,1,1
415,±Ì¿Ã∞®,3,2
416,±Ì¿Ã∞®,3,1
417,±Ì¿Ã∞®,2,1
418,±Ì¿Ã∞®,1,1
419,±Ì¿Ã∞®,2,1
420,¥Áµµ,1,1
421,±Ì¿Ã∞®,4,3
422,¥Áµµ,3,1
423,±Ì¿Ã∞®,2,1
424,±Ì¿Ã∞®,3,1
425,¥Áµµ,1,1
426,±Ì¿Ã∞®,1,1
427,±Ì¿Ã∞®,2,1
428,¥Áµµ,1,1
429,¥Áµµ,1,1
430,¥Áµµ,2,1
431,±Ì¿Ã∞®,2,1
432,±Ì¿Ã∞®,2,1
433,±Ì¿Ã∞®,1,1
434,±Ì¿Ã∞®,4,1
435,±Ì¿Ã∞®,2,1
436,¥Áµµ,1,1
437,¥Áµµ,2,1
438,¥Áµµ,3,1
439,±Ì¿Ã∞®,2,1
440,±Ì¿Ã∞®,3,2
441,±Ì¿Ã∞®,3,2
442,¥Áµµ,2,1
443,±Ì¿Ã∞®,3,1
444,±Ì¿Ã∞®,2,1
445,±Ì¿Ã∞®,1,1
446,±Ì¿Ã∞®,4,2
447,±Ì¿Ã∞®,3,1
448,±Ì¿Ã∞®,3,2
449,¥Áµµ,4,3
450,±Ì¿Ã∞®,2,1
451,¥Áµµ,2,1
452,¥Áµµ,2,1
453,±Ì¿Ã∞®,1,1
454,¥Áµµ,2,1
455,¥Áµµ,2,1
456,¥Áµµ,4,1
457,±Ì¿Ã∞®,1,1
458,±Ì¿Ã∞®,4,3
459,±Ì¿Ã∞®,2,1
460,¥Áµµ,2,1
461,¥Áµµ,2,1
462,¥Áµµ,1,1
463,±Ì¿Ã∞®,1,1
464,±Ì¿Ã∞®,2,1
465,±Ì¿Ã∞®,2,1
466,±Ì¿Ã∞®,2,1
467,±Ì¿Ã∞®,3,1
468,±Ì¿Ã∞®,4,1
469,¥Áµµ,2,1
470,±Ì¿Ã∞®,5,4
471,¥Áµµ,3,1
472,±Ì¿Ã∞®,3,2
473,±Ì¿Ã∞®,2,1
474,¥Áµµ,3,2
475,¥Áµµ,2,1
476,±Ì¿Ã∞®,3,2
477,¥Áµµ,1,1
478,±Ì¿Ã∞®,1,1
479,±Ì¿Ã∞®,3,1
480,¥Áµµ,1,1
481,¥Áµµ,3,2
482,±Ì¿Ã∞®,3,2
483,±Ì¿Ã∞®,1,1
484,¥Áµµ,2,1
485,±Ì¿Ã∞®,3,1
486,¥Áµµ,1,1
487,±Ì¿Ã∞®,4,1
488,¥Áµµ,2,1
489,¥Áµµ,3,2
490,±Ì¿Ã∞®,2,1
491,±Ì¿Ã∞®,2,1
492,±Ì¿Ã∞®,1,1
493,¥Áµµ,1,1
494,¥Áµµ,1,1
495,±Ì¿Ã∞®,4,2
496,¥Áµµ,1,1
497,±Ì¿Ã∞®,3,2
498,¥Áµµ,1,1
499,±Ì¿Ã∞®,3,2
500,±Ì¿Ã∞®,2,1
501,¥Áµµ,2,1
502,±Ì¿Ã∞®,2,1
503,±Ì¿Ã∞®,5,4
504,±Ì¿Ã∞®,4,2
505,¥Áµµ,4,3
506,¥Áµµ,3,1
507,±Ì¿Ã∞®,1,1
508,¥Áµµ,3,1
509,¥Áµµ,2,1
510,±Ì¿Ã∞®,1,1
511,±Ì¿Ã∞®,3,2
512,¥Áµµ,2,1
513,¥Áµµ,1,1
514,¥Áµµ,2,1
515,±Ì¿Ã∞®,5,3
516,±Ì¿Ã∞®,4,2
517,¥Áµµ,3,1
518,¥Áµµ,3,2
519,±Ì¿Ã∞®,3,2
520,¥Áµµ,1,1
521,±Ì¿Ã∞®,2,1
522,±Ì¿Ã∞®,5,2
523,±Ì¿Ã∞®,2,1
524,±Ì¿Ã∞®,3,2
525,±Ì¿Ã∞®,2,1
526,±Ì¿Ã∞®,2,1
527,±Ì¿Ã∞®,1,1
528,±Ì¿Ã∞®,3,2
529,¥Áµµ,3,2
530,¥Áµµ,3,2
531,±Ì¿Ã∞®,5,2
532,¥Áµµ,1,1
533,¥Áµµ,2,1
534,±Ì¿Ã∞®,2,1
535,±Ì¿Ã∞®,2,1
536,¥Áµµ,1,1
537,±Ì¿Ã∞®,3,2
538,±Ì¿Ã∞®,3,1
539,¥Áµµ,6,3
540,±Ì¿Ã∞®,4,3
541,¥Áµµ,2,1
542,±Ì¿Ã∞®,2,1
543,¥Áµµ,2,1
544,±Ì¿Ã∞®,5,1
545,¥Áµµ,2,1
546,¥Áµµ,3,2
547,±Ì¿Ã∞®,3,2
548,±Ì¿Ã∞®,0,0
549,¥Áµµ,3,1
550,±Ì¿Ã∞®,2,1
551,±Ì¿Ã∞®,3,2
552,±Ì¿Ã∞®,2,1
553,±Ì¿Ã∞®,2,1
554,¥Áµµ,2,1
555,±Ì¿Ã∞®,3,1
556,±Ì¿Ã∞®,2,1
557,¥Áµµ,1,1
558,¥Áµµ,1,1
559,±Ì¿Ã∞®,4,3
560,¥Áµµ,2,1
561,±Ì¿Ã∞®,2,1
562,¥Áµµ,2,1
563,¥Áµµ,3,1
564,¥Áµµ,2,1
565,¥Áµµ,1,1
566,¥Áµµ,2,1
567,¥Áµµ,2,1
568,±Ì¿Ã∞®,3,2
569,±Ì¿Ã∞®,3,2
570,±Ì¿Ã∞®,4,1
571,±Ì¿Ã∞®,4,1
572,¥Áµµ,3,2
573,±Ì¿Ã∞®,4,3
574,¥Áµµ,2,1
575,¥Áµµ,4,3
576,±Ì¿Ã∞®,4,2
577,±Ì¿Ã∞®,2,1
578,±Ì¿Ã∞®,2,1
579,±Ì¿Ã∞®,1,1
580,¥Áµµ,1,1
581,¥Áµµ,5,2
582,±Ì¿Ã∞®,2,1
583,±Ì¿Ã∞®,3,1
584,¥Áµµ,3,1
585,±Ì¿Ã∞®,3,1
586,±Ì¿Ã∞®,3,1
587,±Ì¿Ã∞®,3,1
588,¥Áµµ,2,1
589,¥Áµµ,1,1
590,±Ì¿Ã∞®,2,1
591,¥Áµµ,1,1
592,¥Áµµ,3,1
593,¥Áµµ,2,1
594,±Ì¿Ã∞®,2,1
595,±Ì¿Ã∞®,3,1
596,±Ì¿Ã∞®,2,1
597,±Ì¿Ã∞®,4,2
598,¥Áµµ,4,3
599,¥Áµµ,2,1
600,¥Áµµ,3,2
601,±Ì¿Ã∞®,2,1
602,¥Áµµ,3,1
603,¥Áµµ,3,1
604,±Ì¿Ã∞®,2,1
605,±Ì¿Ã∞®,6,3
606,±Ì¿Ã∞®,1,1
607,±Ì¿Ã∞®,3,1
608,±Ì¿Ã∞®,2,1
609,±Ì¿Ã∞®,2,1
610,±Ì¿Ã∞®,2,1
611,±Ì¿Ã∞®,2,1
612,±Ì¿Ã∞®,3,2
613,¥Áµµ,1,1
614,±Ì¿Ã∞®,2,1
615,¥Áµµ,2,1
616,¥Áµµ,2,1
617,±Ì¿Ã∞®,4,3
618,±Ì¿Ã∞®,2,1
619,±Ì¿Ã∞®,2,1
620,¥Áµµ,3,1
621,±Ì¿Ã∞®,3,1
622,¥Áµµ,2,1
623,±Ì¿Ã∞®,2,1
624,±Ì¿Ã∞®,4,1
625,¥Áµµ,2,1
626,¥Áµµ,2,1
627,±Ì¿Ã∞®,4,2
628,¥Áµµ,2,1
629,±Ì¿Ã∞®,2,1
630,±Ì¿Ã∞®,2,1
631,±Ì¿Ã∞®,3,1
632,¥Áµµ,3,2
633,±Ì¿Ã∞®,3,1
634,±Ì¿Ã∞®,3,2
635,¥Áµµ,3,2
636,±Ì¿Ã∞®,2,1
637,¥Áµµ,3,1
638,±Ì¿Ã∞®,3,2
639,¥Áµµ,3,1
640,¥Áµµ,2,1
641,±Ì¿Ã∞®,1,1
642,¥Áµµ,4,2
643,¥Áµµ,3,2
644,±Ì¿Ã∞®,3,1
645,±Ì¿Ã∞®,3,2
646,±Ì¿Ã∞®,2,1
647,¥Áµµ,2,1
648,±Ì¿Ã∞®,1,1
649,¥Áµµ,3,1
650,¥Áµµ,3,2
651,¥Áµµ,3,2
652,±Ì¿Ã∞®,3,2
653,¥Áµµ,2,1
654,¥Áµµ,2,1
655,±Ì¿Ã∞®,3,1
656,±Ì¿Ã∞®,2,1
657,¥Áµµ,2,1
658,¥Áµµ,2,1
659,¥Áµµ,3,1
660,±Ì¿Ã∞®,4,3
661,±Ì¿Ã∞®,4,2
662,¥Áµµ,2,1
663,¥Áµµ,2,1
664,±Ì¿Ã∞®,1,1
665,¥Áµµ,3,2
666,¥Áµµ,2,1
667,±Ì¿Ã∞®,2,1
668,±Ì¿Ã∞®,4,2
669,¥Áµµ,1,1
670,¥Áµµ,3,2
671,¥Áµµ,1,1
672,±Ì¿Ã∞®,5,2
673,±Ì¿Ã∞®,2,1
674,±Ì¿Ã∞®,2,1
675,±Ì¿Ã∞®,3,2
676,±Ì¿Ã∞®,1,1
677,±Ì¿Ã∞®,1,1
678,¥Áµµ,3,1
679,±Ì¿Ã∞®,4,2
680,¥Áµµ,3,2
681,±Ì¿Ã∞®,2,1
682,¥Áµµ,1,1
683,±Ì¿Ã∞®,2,1
684,¥Áµµ,2,1
685,¥Áµµ,2,1
686,±Ì¿Ã∞®,3,1
687,±Ì¿Ã∞®,2,1
688,±Ì¿Ã∞®,3,2
689,¥Áµµ,1,1
690,¥Áµµ,3,1
691,¥Áµµ,2,1
692,±Ì¿Ã∞®,2,1
693,¥Áµµ,3,1
694,±Ì¿Ã∞®,2,1
695,±Ì¿Ã∞®,2,1
696,±Ì¿Ã∞®,2,1
697,¥Áµµ,2,1
698,±Ì¿Ã∞®,3,2
699,¥Áµµ,2,1
700,±Ì¿Ã∞®,3,2
701,¥Áµµ,1,1
702,¥Áµµ,3,1
703,±Ì¿Ã∞®,1,1
704,¥Áµµ,2,1
705,¥Áµµ,2,1
706,¥Áµµ,2,1
707,¥Áµµ,2,1
708,±Ì¿Ã∞®,2,1
709,¥Áµµ,2,1
710,±Ì¿Ã∞®,2,1
711,¥Áµµ,4,2
712,±Ì¿Ã∞®,2,1
713,±Ì¿Ã∞®,2,1
714,±Ì¿Ã∞®,3,2
715,±Ì¿Ã∞®,4,2
716,±Ì¿Ã∞®,3,2
717,±Ì¿Ã∞®,1,1
718,±Ì¿Ã∞®,5,4
719,±Ì¿Ã∞®,1,1
720,±Ì¿Ã∞®,3,2
721,±Ì¿Ã∞®,3,1
722,¥Áµµ,2,1
723,¥Áµµ,3,1
724,±Ì¿Ã∞®,2,1
725,¥Áµµ,5,4
726,±Ì¿Ã∞®,5,4
727,±Ì¿Ã∞®,2,1
728,¥Áµµ,2,1
729,¥Áµµ,3,1
730,±Ì¿Ã∞®,3,2
731,¥Áµµ,2,1
732,±Ì¿Ã∞®,4,1
733,¥Áµµ,4,2
734,±Ì¿Ã∞®,2,1
735,¥Áµµ,3,1
736,±Ì¿Ã∞®,3,1
737,¥Áµµ,2,1
738,±Ì¿Ã∞®,2,1
739,¥Áµµ,2,1
740,±Ì¿Ã∞®,3,2
741,¥Áµµ,3,2
742,¥Áµµ,1,1
743,±Ì¿Ã∞®,2,1
744,¥Áµµ,2,1
745,±Ì¿Ã∞®,2,1
746,±Ì¿Ã∞®,1,1
747,±Ì¿Ã∞®,2,1
748,±Ì¿Ã∞®,4,3
749,¥Áµµ,3,2
750,±Ì¿Ã∞®,2,1
751,±Ì¿Ã∞®,4,1
752,±Ì¿Ã∞®,2,1
753,¥Áµµ,3,1
754,±Ì¿Ã∞®,3,2
755,¥Áµµ,5,1
756,¥Áµµ,3,2
757,±Ì¿Ã∞®,2,1
758,¥Áµµ,3,2
759,¥Áµµ,4,1
760,¥Áµµ,3,2
761,±Ì¿Ã∞®,3,1
762,¥Áµµ,1,1
763,±Ì¿Ã∞®,3,2
764,±Ì¿Ã∞®,2,1
765,±Ì¿Ã∞®,5,4
766,¥Áµµ,3,2
767,¥Áµµ,5,2
768,¥Áµµ,5,3
769,¥Áµµ,2,1
770,¥Áµµ,3,1
771,¥Áµµ,3,1
772,±Ì¿Ã∞®,1,1
773,¥Áµµ,2,1
774,¥Áµµ,2,1
775,¥Áµµ,3,2
776,¥Áµµ,3,2
777,¥Áµµ,2,1
778,¥Áµµ,2,1
779,±Ì¿Ã∞®,1,1
780,±Ì¿Ã∞®,2,1
781,¥Áµµ,2,1
782,±Ì¿Ã∞®,2,1
783,±Ì¿Ã∞®,3,1
784,¥Áµµ,3,1
785,±Ì¿Ã∞®,2,1
786,±Ì¿Ã∞®,2,1
787,±Ì¿Ã∞®,2,1
788,±Ì¿Ã∞®,3,2
789,¥Áµµ,3,1
790,¥Áµµ,1,1
791,±Ì¿Ã∞®,3,1
792,¥Áµµ,3,2
793,±Ì¿Ã∞®,2,1
794,¥Áµµ,1,1
795,¥Áµµ,1,1
796,¥Áµµ,3,2
797,¥Áµµ,4,1
798,±Ì¿Ã∞®,1,1
799,¥Áµµ,2,1
800,¥Áµµ,2,1
801,¥Áµµ,1,1
802,±Ì¿Ã∞®,2,1
803,±Ì¿Ã∞®,2,1
804,¥Áµµ,3,1
805,±Ì¿Ã∞®,1,1
806,¥Áµµ,1,1
807,±Ì¿Ã∞®,2,1
808,¥Áµµ,2,1
809,±Ì¿Ã∞®,1,1
810,¥Áµµ,1,1
811,±Ì¿Ã∞®,2,1
812,±Ì¿Ã∞®,2,1
813,±Ì¿Ã∞®,3,1
814,±Ì¿Ã∞®,1,1
815,±Ì¿Ã∞®,1,1
816,¥Áµµ,1,1
817,±Ì¿Ã∞®,1,1
818,±Ì¿Ã∞®,3,1
819,±Ì¿Ã∞®,1,1
820,±Ì¿Ã∞®,1,1
821,¥Áµµ,1,1
822,±Ì¿Ã∞®,2,1
823,±Ì¿Ã∞®,1,1
824,¥Áµµ,3,2
825,¥Áµµ,1,1
826,¥Áµµ,6,2
827,±Ì¿Ã∞®,1,1
828,¥Áµµ,2,1
829,¥Áµµ,2,1
830,¥Áµµ,3,1
831,¥Áµµ,2,1
832,±Ì¿Ã∞®,3,1
833,±Ì¿Ã∞®,2,1
834,±Ì¿Ã∞®,4,3
835,¥Áµµ,3,1
836,±Ì¿Ã∞®,2,1
837,±Ì¿Ã∞®,1,1
838,¥Áµµ,5,4
839,±Ì¿Ã∞®,2,1
840,±Ì¿Ã∞®,3,1
841,¥Áµµ,3,1
842,¥Áµµ,3,2
843,¥Áµµ,2,1
